Index,ID,Last Job,Influence,Risk Score,Hiring Score,Work Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10
0,0,Bilingual Language Arts Sixth Grade Teacher,7,12.5,46.01,15,Teaching,Curriculum Development,Classroom Management,Leadership,Project Management,Community Outreach,Spanish Language Instruction,Academic Advising,,
1,1,Mortgage Banking Default Operations Specialist II,8,36.7,27.27,19,Mortgage Banking,Customer Service,Leadership,Project Management,Communication,Problem-Solving,Time Management,Training and Development,Audio-Visual Technology,
2,2,Guest Lecturer,7,28.0,20.58,19,Fitness Instruction,Personal Training,Leadership,Fitness Management,Sports Management,Group Fitness Instruction,Communication,English,,
3,3,Accountant,8,21.2,24.68,19,Accounting,Financial Reconciliation,Procurement,Auditing,Data Analysis,Project Management,Leadership,Communication,French,
4,4,Staff Accountant,7,8.0,53.81,22,Financial Reconciliation,General Accounting,Payroll Management,Budgeting,Leadership,Microsoft Excel,Accounting Supervision,Financial Analysis,,
5,5,HR - Shared Services Supervisor,9,30.7,18.43,19,Leadership,Performance Management,Talent Management,Coaching,Communication,Problem-Solving,Time Management,Customer Service,Training and Development,
6,6,Organizer and Capacity Building Strategist,9,0.0,64.4,24,Advocacy,Community Organizing,Disability Rights,Education,Nonprofit Management,Social Justice,Leadership,Project Management,Communication,
7,7,HR Director,8,6.0,56.9,28,Communication,Training and Development,Problem-Solving,Policy Development,Leadership,Employee Relations,Human Resources Management,,,
8,8,Special Instructor of Composition Administration,8,40.0,14.33,21,Curriculum Design,Instructional Design,Leadership,Mentoring,Project Management,Communication,Team Collaboration,Time Management,Problem-Solving,Technology Integration
9,9,Member Services Representative,7,25.0,31.01,14,Customer Service,Risk Analysis,Problem-Solving,Communication,Time Management,Adaptability,,,,
10,10,Operations Manager,7,15.5,52.99,12,Leadership,Project Management,Risk Management,Quality Assurance,Process Improvement,Client Service,Team Management,Data Analysis,AML/KYC Policy,Technology
11,11,Banking Relationship Specialist,7,54.0,13.31,7,Customer Service,Cash Handling,Banking Operations,Data Entry,Time Management,Communication,,,,
12,12,Partner Account Manager,9,0.0,48.24,14,Project Management,Account Management,Data Analysis,Marketing,Customer Relationship Management,Leadership,Oracle SQL,,,
13,13,Healthcare Recruiter,7,29.5,19.36,34,Recruitment,Staffing Management,Marketing Strategy,HR Support,Benefits Administration,Communication,Leadership,,,
14,14,Floater/Teacher,7,25.0,26.35,16,Teaching,Classroom Management,Leadership,Physical Education,Child Development,Nutrition Education,Safety Management,Lesson Planning,Assessment and Evaluation,
15,15,Finance and Operations Manager,8,45.9,22.15,11,Financial Analysis,Financial Reporting,Budgeting,Inventory Management,Leadership,Process Improvement,Cash Flow Management,Financial Planning,Microsoft Office,
16,16,Phlebotomist,6,76.5,1.57,22,Phlebotomy,Customer Service,Laboratory Procedures,Administrative Support,,,,,,
17,17,Finance Manager,9,76.5,2.48,46,Financial Management,Auditing,Accounting,Budgeting,Leadership,Contract Management,Financial Analysis,Compliance,,
